source,target,Weight,piece_count
"D:maj6","D:maj7",16,2
"D:maj7","A:maj(9)/3",16,1
"D:maj7","E:min9",16,1
"E:maj","F:maj",16,4
"E:maj(11)","E:maj",16,1
"E:min","D:maj6",16,1
"Eb:5","C:5",16,1
"Eb:maj7","C:min",16,2
"Eb:maj9","Gb:maj",16,1
"F#:7","E:7",16,3
"F#:min7","B:min",16,5
"F:9/5","Eb:maj",16,1
"F:maj","F:9/5",16,1
"F:sus4","G:sus4",16,1
"G:7","D:min",16,3
"G:maj","A:maj/b7",16,1
"G:maj","C:7",16,6
"G:maj","F:maj/5",16,3
"G:maj","G:maj/b7",16,5
"G:maj/3","A:min",16,5
"G:maj7","F#:min7",16,4
"G:min7","A:min7",16,4
"G:min7","Ab:maj",16,1
"Gb:maj","Ab:11",16,1
"A:7","G:7",15,4
"A:maj","A:maj(9)",15,3
"A:maj","G#:min7",15,4
"A:min","D:min7",15,6
"Ab:11","Eb:maj9",15,1
"Ab:maj/2","Bb:maj",15,2
"Ab:maj/2","Eb:maj",15,1
"Ab:maj/3","Bb:maj",15,1
"B:7","C:maj",15,5
"B:maj7","E:maj6(9)",15,1
"B:min","B:min/b7",15,3
"B:sus4(b7,9)","E:maj",15,3
"Bb:7","C:7",15,4
"Bb:maj","Bb:maj/b7",15,3
"C#:1/1","C#:sus4(b7,9)",15,1
"C#:min7","B:min7/b7",15,1
"C#:min7","G#:min7",15,1
"C#:sus4(b7,9)","C#:min7",15,1
"C:7","D:7",15,4
"C:maj/2","D:min",15,3
"C:maj/4","Bb:maj/5",15,1
"C:maj/5","G:7",15,5
"C:maj13","G:maj7",15,1
"C:maj7","B:sus4(b7)",15,1
"C:min7","F:sus4(b7,9)",15,2
"C:sus4(b7)","C:7",15,6
"Cb:maj","Gb:maj",15,1
"D:1/1","D:maj",15,5
"D:7","A:min",15,2
"D:maj","D:maj6",15,2
"D:maj","E:min7",15,7
"D:min","C:sus4",15,2
"D:min","E:min/b7",15,1
"D:min/6","D:min7",15,1
"D:min7","C:maj7",15,3
"D:min7","D:min/6",15,1
"D:sus4(b7)","D:7",15,4
"D:sus4(b7,9)","G:maj",15,4
"E:min9","C:maj9",15,1
"Eb:maj","Bb:maj/5",15,3
"F:maj","G:sus4(9)",15,1
"F:maj7","G:7",15,2
"G#:min","G:min",15,1
"G#:min7","B:sus4(b7,9)",15,1
"G:maj","E:min9",15,1
"G:maj","F#:maj",15,5
"G:maj(9)","G:maj",15,2
"G:maj(9)","G:sus4",15,1
"G:maj/3","A:min7",15,3
"G:maj/b7","A:min",15,2
"G:min","F#:min",15,1
"G:min7","D:maj/3",15,1
"G:sus4(b7,9)","G:maj",15,2
"A:11","F#:min/b3",14,1
"A:maj","A:maj/b7",14,5
"A:maj/3","B:min",14,5
"A:maj/b7","G:maj",14,1
"A:min","G:maj/b7",14,1
"A:min7","G:maj(9)",14,2
"Ab:7","Eb:maj",14,4
"Ab:maj","Eb:min",14,3
"Ab:maj7","Eb:maj",14,1
"Ab:min7","Db:7",14,3
"B:7","F#:min7",14,2
"B:min","C:maj7",14,2
"B:min7","A:maj",14,4
"B:min7","E:9",14,3
"Bb:maj","Eb:min/5",14,1
"Bb:maj","G:maj",14,7
"Bb:maj/2","F:maj/5",14,3
"Bb:maj/3","Eb:maj",14,4
"Bb:min","Gb:maj/3",14,1
"Bb:min/b7","Gb:maj",14,2
"C#:7","F#:7",14,4
"C#:min7","F#:min9",14,1
"C:maj","C:maj/7",14,4
"C:maj","E:min/5",14,2
"C:maj/3","C:maj",14,3
"C:maj7","C:maj6",14,4
"C:min7","F:min7",14,7
"C:sus4(b7,9)","C:maj",14,3
"D:5","Bb:maj",14,2
"D:5","C:maj/2",14,2
"D:maj","F#:7",14,2
"D:maj","G:maj7",14,3
"D:maj6","C:maj",14,1
"D:min7","D:min6",14,3
"D:sus4","G:maj",14,3
"Db:11","Eb:min7",14,1
"Db:maj6","Db:maj",14,1
"E:(b3,b7)/b7","G:maj/5",14,1
"E:7/b7","E:maj6/6",14,1
"E:maj","C:maj",14,5
"E:maj/b7","E:(b3,b7)/b7",14,1
"E:maj6/6","C:maj",14,1
"E:min7","G:7",14,1
"Eb:7","Bb:7",14,4
"Eb:maj","Bb:7",14,7
"Eb:maj","Bb:sus4",14,1
"Eb:maj","Eb:7",14,9
"Eb:min7","Eb:min11",14,1
"Eb:sus4(b7)","Ab:maj",14,2
"F#:7","E:maj",14,2
"F#:min","F#:min11",14,1
"F#:min","F#:min7",14,3
"F#:min7","B:maj",14,5
"F#:min7","B:min7",14,5
"F#:min9","B:maj6(b7)",14,1
"F:maj","D:7",14,6
"F:maj","E:min7",14,5
"F:maj6/2","F:maj",14,1
"F:maj7","F:maj",14,2
"F:min","Bb:min",14,5
"F:min7","Ab:maj/3",14,1
"F:min7","Gb:maj",14,3
"F:sus4(b7)","F:7",14,4
"G:maj","B:7",14,3
"G:maj","C:5",14,2
"G:maj","E:7",14,5
"G:maj","F:maj6/2",14,1
"G:min","Bb:7",14,2
"G:sus4(b7)","C:maj",14,5
"A:1/1","B:min",13,3
"A:maj","E:min7",13,4
"A:min7","B:sus4",13,2
"A:min7","D:sus4(b7,9)",13,3
"A:sus4(b7,9)","D:maj7",13,3
"Ab:maj","F:maj",13,4
"Ab:maj","G:maj",13,5
"Ab:maj/5","Ab:maj",13,5
"Ab:maj7","Bb:maj(9)",13,1
"B:maj","Bb:maj",13,4
"B:maj","F#:min",13,4
"B:min","F#:7",13,2
"B:min7","E:min7",13,5
"B:sus4(b7)","B:7",13,4
"Bb:maj","Bb:maj7",13,5
"Bb:maj","C:maj(9)",13,2
"Bb:maj","Db:maj",13,3
"Bb:maj","F:min",13,5
"Bb:sus4(b7)","Bb:7",13,8
"C#:min9","C#:min7",13,1
"C:maj","C:maj(9)",13,2
"C:min7","Eb:maj",13,5
"D:7/b7","B:min7",13,2
"D:maj/2","D:maj7",13,1
"D:min","Eb:maj",13,3
"D:sus2","E:(b3,b7,11,9)",13,1
"D:sus4(b7)","G:maj",13,2
"E:(b3,b7,11,9)","G:maj",13,1
"E:1/1","B:maj/4",13,1
"E:7","D:7",13,2
"E:7","D:maj",13,4
"E:7(b9)","A:min",13,1
"E:maj","A:maj(9)",13,3
"E:maj","C#:min9",13,1
"E:min","E:min/b7",13,3
"E:min","E:min7",13,3
"E:min","G:min",13,1
"E:min7","D:1/1",13,1
"E:min7","F#:aug(b7)",13,1
"Eb:maj","C:7/3",13,3
"Eb:maj","D:7",13,3
"Eb:min","Bb:maj",13,5
"Eb:sus4","Ab:maj",13,1
"F#:5","F#:maj",13,1
"F#:maj","C#:min7",13,3
"F#:min/b3","A:11",13,1
"F#:min7","E:min7",13,3
"F#:min7","G:maj7",13,3
"F:maj","Bb:maj7",13,4
"F:maj","C:maj/5",13,4
"F:maj","F:maj(9)",13,2
"F:maj","F:maj6",13,4
"F:maj","F:sus4",13,4
"F:min","Bb:maj",13,4
"F:min7","Bb:7",13,6
"F:sus4(b7)","Bb:maj",13,4
"F:sus4(b7,9)","Bb:7",13,3
"G:7","G:7/6",13,1
"G:7/6","G:7/b7",13,1
"G:maj","G:maj6",13,3
"G:maj6","G:maj",13,5
"G:maj7","B:min",13,2
"G:min7","C:sus4(b7,9)",13,2
"G:min7","Eb:maj",13,4
"Gb:maj","Eb:min7",13,2
"A:1/1","D:1/1",12,3
"A:1/1","E:sus4(b7,9,13)",12,1
"A:7","A:maj6",12,2
"A:7","F:maj",12,3
"A:maj","E:maj/5",12,3
"A:maj/5","A:maj",12,4
"A:min7","D:sus4(b7)",12,1
"A:min7","G:maj/2",12,1
"Ab:maj","Bb:min/b7",12,1
"Ab:maj","Eb:sus4(b7,9)",12,1
"Ab:maj","Gb:maj/2",12,2
"Ab:maj/4","Gb:maj6(9)",12,1
"B:7(b9)","E:min",12,1
"B:maj","A:11",12,1
"B:maj/5","F#:5",12,1
"B:maj/b7","A:maj9",12,1
"B:min7","B:min7/b7",12,1
"B:min7/b7","D:maj/5",12,1
"B:sus4(b7,9)","C#:1/1",12,1
"Bb:5","F:5",12,3
"Bb:7","Eb:7",12,6
"Bb:maj","A:7",12,3
"Bb:maj","C:maj/3",12,1
"Bb:maj","Eb:min",12,4
"Bb:maj","G:5",12,2
"Bb:maj7","Bb:maj",12,4
"Bb:min9","Ab:maj",12,1
"C#:min7","E:maj",12,3
"C#:min7","F#:maj",12,2
"C:5","D:maj",12,1
"C:7","F:min",12,6
"C:hdim7","F:7(b9)",12,1
"C:maj","E:7",12,5
"C:maj","F:maj(9)",12,3
"C:maj","F:sus4",12,2
"C:maj7","E:min7",12,1
"C:maj9","D:min7/b7",12,1
"C:min","C:maj",12,2
"C:min","F:sus4",12,1
"C:min7","F:sus4",12,1
"D#:sus4(b7)","G#:sus4(b7,9)",12,1
"D:5","D:sus4",12,1
"D:7","G:sus4(b7)",12,3
"D:maj","G:7",12,3
"D:maj","G:maj9",12,2
"D:maj","G:min/5",12,1
"D:maj/4","C:maj/5",12,3
"D:maj/b7","E:min",12,1
"D:maj7","E:min",12,2
"D:maj7","E:min7",12,4
"D:maj7/2","C:maj9/3",12,1
"Db:maj6/5","Db:sus4(b7)",12,1
"Db:min","Ab:min",12,2
"Db:sus4","Db:maj",12,2
"E:11","A:maj",12,1
"E:5","B:5",12,3
"E:7(#9)","C:maj",12,1
"E:maj","E:7(#9)",12,1
"E:min/b7","D:maj",12,3
"E:min9","D:maj7/2",12,1
"E:sus4","A:maj",12,3
"E:sus4(b7)","E:7",12,6
"Eb:maj","Eb:min7",12,2
"Eb:maj7","Ab:maj/5",12,2
"Eb:min/b7","Db:maj6/5",12,1
"Eb:min11","Cb:maj7(#11)",12,1
"Eb:min7","Bb:maj",12,2
"Eb:min7","Bb:min7",12,2
"Eb:min7(11)","C:hdim7",12,1
"Eb:sus4(b7,9)","Ab:maj/4",12,1
"F#:aug(b7)","B:min7",12,1
"F#:maj","B:min/5",12,1
"F#:maj","F#:sus4(b7,9)",12,1
"F#:min","A:7",12,3
"F#:min","E:maj/3",12,2
"F#:min/b7","E:min",12,1
"F#:min7","B:maj/5",12,1
"F:1/1","G:1/1",12,3
"F:maj","Bb:7",12,4
"F:maj","F#:dim",12,6
"F:maj/3","C:maj",12,1
"F:maj7","C:maj/3",12,1
"F:min7","Ab:maj/2",12,1
"F:min7","Eb:min7",12,5
"F:min7","F:min7/4",12,1
"F:min7/4","F:min7/b3",12,1
"F:min7/b3","F:min7/2",12,1
"G#:min","F#:min7",12,3
"G#:min7","D#:sus4(b7)",12,1
"G:7","F:maj7",12,1
"G:maj","D:sus2",12,2
"G:maj","G:sus4",12,3
"G:maj(9)","F:maj(9)",12,2
"G:maj/5","G:maj",12,5
"G:min","Ab:maj",12,3
"Gb:maj","Ab:min7",12,1
"Gb:maj/3","Gb:maj",12,1
"Gb:maj6(9)","Eb:min7(11)",12,1
"A:7","G:maj/2",11,2
"A:7/4","D:maj",11,1
"A:7/4","D:min",11,1
"A:maj","D:min",11,4
"A:maj(9)","A:maj",11,2
"A:maj/3","E:maj",11,2
"A:min","E:7(b9)",11,1
"A:min","F:9",11,1
"A:min","F:maj7",11,1
"A:min","G:min7/2",11,1
"A:min7","E:min/b3",11,1
"Ab:maj","Eb:sus4",11,3
"Ab:maj/5","Eb:maj7",11,2
"Ab:maj6","Bb:min",11,1
"Ab:min11","Bb:min",11,1
"Ab:min7","Ab:min7/4",11,1
"B:7","E:min7",11,3
"B:dim/b3","G:sus4/5",11,1
"B:maj/5","F#:min",11,1
"B:maj6(b7)","E:maj",11,1
"B:min","A:maj/3",11,2
"B:min/b7","G:maj",11,3
"B:min7","G:maj",11,1
"B:sus4","E:maj",11,2
"Bb:7","Bb:maj",11,3
"Bb:maj","C:maj/b7",11,1
"Bb:maj7","A:min7",11,5
"Bb:min7","Ab:maj",11,6
"C#:7","F#:min7",11,3
"C#:min7","F#:7",11,4
"C:7/6","F:maj7",11,1
"C:maj","C:min",11,5
"C:maj/3","G:maj",11,3
"C:maj/5","A:min",11,3
"C:maj/5","G:min",11,2
"C:maj/b7","A:min",11,1
"C:maj7","A:min7",11,1
"C:maj9/3","D:maj7",11,1
"C:min","G:min",11,2
"D#:maj","G#:maj",11,1
"D:7","D:maj",11,5
"D:maj","C:maj6(9)",11,2
"D:maj","E:min/b7",11,2
"D:maj/3","B:min7",11,2
"D:maj/3","E:min",11,3
"D:maj/5","G:maj/2",11,1
"D:min","B:dim/b3",11,1
"D:min","D:min7",11,6
"D:min","F:maj/5",11,2
"D:min","G:5",11,1
"D:min","G:min/5",11,1
"D:min7","D:min11",11,2
"D:min7","F:maj7",11,2
"D:min7","G:sus4(b7)",11,3
"D:sus4","D:sus2",11,1
"Db:maj","Db:maj/7",11,2
"Db:maj7","Gb:maj",11,2
"Db:sus4(b7)","Gb:maj7/2",11,1
"E:aug(b7)","A:min7/b7",11,1
"E:maj","A:sus4",11,2
"E:maj","B:min7",11,5
"E:maj","E:maj/7",11,2
"E:maj","E:maj6",11,3
"E:maj","G#:7",11,3
"E:min","B:maj",11,3
"E:min","D:min7",11,3
"E:min/5","A:min7",11,1
"E:min7","F#:min7",11,5
"Eb:maj","Eb:maj/5",11,2
"Eb:maj","F:sus4",11,1
"Eb:maj","G:min/5",11,1
"Eb:maj/3","F:min7",11,2
"Eb:maj7","Ab:maj7",11,2
"Eb:maj9","F:maj",11,1
"Eb:min11","Ab:min11",11,1
"Eb:min7","Ab:13",11,1
"Eb:min7","Db:maj",11,3
"F#:1/1","D#:maj",11,1
"F#:min","A:5",11,1
"F#:min11","A:maj",11,1
"F#:sus4(b7,9)","B:maj7",11,1
"F#:sus4(b7,9)","F#:maj",11,1
"F:7","Eb:maj",11,6
"F:9","E:7(b9)",11,1
"F:maj(9)","Eb:maj9(13,#11)",11,1
"F:maj/4","Bb:maj",11,2
"F:maj7","G:maj",11,1
"F:maj7","G:sus4(b7)",11,3
"F:min9","Bb:min9",11,2
"G#:maj","C#:1/1",11,1
"G#:min7","B:maj",11,1
"G:5","E:5",11,2
"G:7","C:maj7",11,4
"G:7/b7","G:7",11,1
"G:maj/2","A:maj",11,3
"G:maj/3","F#:min/b3",11,1
"G:maj7","B:min7",11,3
"G:min","C:maj/5",11,2
"G:min/5","A:7/4",11,1
"G:sus4/5","A:7/4",11,1
"Gb:maj","Ab:7",11,2
"Gb:maj/2","Ab:maj",11,2
"Gb:maj7/2","A:min6",11,1
"A:5","Bb:5",10,4
"A:5(b7)/2","A:5(b7)/3",10,1
"A:7","A:7/5",10,1
"A:7","Ab:7",10,2
"A:maj","A:maj/7",10,2
"A:maj","A:maj7",10,2
"A:maj","B:5",10,1
"A:maj","D:sus4",10,3
"A:maj(9)","E:maj",10,4
"A:min","B:7",10,2
"A:min6","Eb:min/b7",10,1
"A:min7","B:min7",10,2
"A:min7","G:7",10,2
"A:min7","G:maj/3",10,1
"A:min7/5","A:5",10,1
"Ab:maj","G:min",10,3
"Ab:maj","Gb:maj7",10,3
"Ab:maj/2","G:min7",10,1
"Ab:min(b13)","Db:min9",10,1
"Ab:min6","Ab:min(b13)",10,1
"Ab:min7/4","Bb:min7",10,1
"Ab:min9","Ab:min6",10,1
"Ab:sus4","Ab:maj",10,3
"Ab:sus4(b7,9)","Db:maj",10,3
"B:5","F#:sus4(b7)",10,1
"B:7","C#:min",10,3
"B:maj","E:sus4(b7,9)",10,1
"B:maj6","E:1/1",10,1
"B:min7","G:maj(9)",10,2
"B:min7/b7","C#:min7",10,1
"Bb:maj","A:(11)",10,1
"Bb:maj","A:min7/5",10,1
"Bb:maj","A:sus4",10,2
"Bb:maj6","C:maj",10,2
"Bb:min9","Eb:min9",10,2
"Bb:sus4(b7,9)","Eb:maj",10,3
"C#:1/1","C:1/1",10,3
"C#:min7","F#:sus4(b7,9)",10,1
"C:1/1","F:1/1",10,2
"C:5/5","C:maj",10,1
"C:7/6","F:maj7/3",10,1
"C:maj","F:7",10,3
"C:maj/5","G:min7",10,2
"C:maj7","F:min6/5",10,1
"C:min","Bb:min",10,4
"C:min","Eb:maj7",10,1
"C:min","F:min9",10,1
"D:maj","F:maj/5",10,1
"D:maj","G:5/5",10,1
"D:maj","G:maj(9)",10,4
"D:maj","G:min",10,4
"D:maj/3","G:maj13",10,1
"D:min","A:maj",10,3
"D:min","Bb:maj7",10,4
"D:min7","Bb:maj",10,5
"Db:maj","Eb:min7",10,3
"Db:maj","Eb:sus4",10,2
"Db:maj(9)","Eb:min(9)",10,1
"Db:min9","Ab:min7",10,1
"E:7","A:maj7",10,2
"E:maj","F:maj7",10,1
"E:maj/3","F#:maj",10,1
"E:maj/3","G:maj",10,2
"E:maj/7","C#:min7",10,1
"E:maj/b7","D:1/1",10,1
"E:min","Eb:maj",10,2
"E:min7","C:maj",10,4
"Eb:maj","Ab:maj/5",10,2
"Eb:maj","Eb:maj7",10,3
"Eb:maj9(13,#11)","Bb:maj",10,1
"Eb:min9","C:min7",10,1
"F#:1/1","E:1/1",10,3
"F#:min7","B:sus4(b7)",10,4
"F#:min7","D:maj7",10,1
"F#:sus4(b7)","B:maj/5",10,1
"F#:sus4(b7,9)","B:maj",10,2
"F:5","Eb:5",10,3
"F:5/6","C:(3)/2",10,1
"F:7","Bb:min7",10,6
"F:7","C:maj",10,1
"F:9","Bb:maj",10,3
"F:dim","F#:min7",10,1
"F:maj","F:7",10,5
"F:maj/2","C:maj/5",10,1
"F:maj/3","G:min",10,4
"F:maj/5","Bb:maj/2",10,3
"F:maj6","C:maj/5",10,2
"F:maj6","E:min7",10,2
"F:maj7","E:min7",10,3
"F:maj7/3","G:min7/2",10,1
"F:min7/2","F:min7",10,1
"F:sus4(b7,9)","C:5/5",10,1
"G:1/1","C:1/1",10,2
"G:1/1","F#:1/1",10,3
"G:5/5","F:5/6",10,1
"G:7","A:7",10,4
"G:7","C:min7",10,5
"G:maj","C:maj7",10,5
"G:maj","D:maj/4",10,4
"G:maj","G:maj/5",10,3
"G:maj(9)","E:min7(11)",10,1
"G:maj/2","A:7",10,1
"G:maj13","E:min7",10,1
"G:min7","F:maj/2",10,1
"G:min7","Gb:maj",10,2
"G:sus4(9)","C:maj",10,1
"G:sus4(9)","G:maj",10,1
"Gb:7","Db:maj",10,4
"Gb:maj","Cb:maj",10,1
"Gb:maj","Db:maj/3",10,4
"Gb:maj/2","Db:maj/5",10,2
"A:7","A:maj",9,5
"A:7","Bb:maj7",9,3
"A:7","C:maj",9,2
"A:maj","G:maj/2",9,2
"A:maj6","A:maj",9,3
"A:min","D:5",9,1
"A:min7","A:min11",9,1
"A:min7","D:maj(9)",9,1
"A:min7","G:maj(11)",9,1
"A:sus4(b7)","D:maj7",9,2
"Ab:9","Ab:1/1",9,1
"Ab:maj","Ab:maj7",9,3
"Ab:maj/3","F:min7",9,1
"Ab:maj7","Eb:maj7",9,1
"Ab:min7","Bb:min7",9,3
"B:5","A:5",9,3
"B:7","E:maj6",9,1
"B:maj","B:sus4",9,3
"B:maj6/3","C#:min7",9,1
"B:min7","D:7",9,1
"B:min7","G:maj/3",9,1
"Bb:5","A:5",9,1
"Bb:7","A:7",9,2
"Bb:7","F:maj",9,2
"Bb:9","C:maj/4",9,1
"Bb:maj","Bb:maj/7",9,1
"Bb:maj","Bb:maj7/7",9,1
"Bb:maj","Eb:7",9,4
"Bb:maj(9)","C:min",9,1
"Bb:maj/7","G:min",9,1
"Bb:maj/b7","G:min",9,2
"Bb:maj6(9)","F:maj",9,1
"Bb:maj7","Eb:maj13",9,1
"Bb:min","Gb:min",9,1
"C#:min","A:maj7",9,3
"C#:min9","F#:min7",9,1
"C:(3)/2","D:5",9,1
"C:1/1","D:1/1",9,3
"C:11","F:maj",9,2
"C:7","E:min",9,1
"C:maj","A:7",9,5
"C:maj","C:maj/3",9,4
"C:maj","C:min7",9,2
"C:maj","D:min6",9,1
"C:maj(9)","C:maj",9,3
"C:maj/3","F:maj6",9,1
"C:maj/4","G:min7",9,1
"C:maj/5","D:min7",9,1
"C:maj9","D:min7",9,1
"C:min","F:9",9,2
"C:min7","Ab:maj7",9,2
"C:min7","Eb:maj/5",9,2
"Cb:maj","Bb:sus4",9,1
"D:1/1","C#:1/1",9,2
"D:7/3","G:maj",9,4
"D:maj","E:7(#9)",9,1
"D:maj","F#:min/5",9,2
"D:maj","F:maj9",9,1
"D:maj/3","A:min",9,2
"D:maj/5","A:7",9,3
"D:maj7","B:min7",9,2
"D:min","C:7",9,2
"D:min","E:maj",9,1
"D:min7","E:min/b7",9,1
"D:min7","Eb:maj",9,3
"D:sus4(b7)","E:min7",9,1
"Db:maj","Db:maj7",9,5
"Db:maj","Eb:min11",9,1
"Db:maj/2","Eb:min",9,1
"Db:maj/7","Bb:min7",9,1
"Db:min7","Eb:min7",9,1
"E:7(#9)","E:maj",9,1
"E:7(b9)","A:min9",9,1
"E:dim7","G:dim7",9,1
"E:maj","A:maj7",9,1
"E:maj","F#:maj/3",9,1
"E:maj6","B:13",9,1
"E:maj6","B:maj6/3",9,1
"E:min","C:7",9,1
"E:min","E:dim7",9,1
"E:min7(11)","D:sus4",9,1
"E:sus4(b7,9,13)","B:1/1",9,1
"Eb:7","Ab:maj7",9,5
"Eb:7","Bb:min7",9,2
"Eb:maj","D:min",9,4
"Eb:maj","E:min",9,3
"Eb:maj/4","Db:maj/5",9,2
"Eb:maj6","Db:maj",9,1
"Eb:min7","F:min7",9,3
"Eb:min7","F:min9",9,1
"F#:7","A:maj",9,3
"F#:maj","E:maj/5",9,1
"F#:maj/3","D#:min7",9,1
"F#:min7","B:9",9,3
"F#:min7","E:maj/5",9,1
"F#:min7","E:min9",9,2
"F:5","Bb:5",9,2
"F:7(b9)","Bb:min9",9,1
"F:maj","C:min11",9,2
"F:maj","E:7",9,5
"F:maj","F:maj/5",9,2
"F:maj","F:maj7",9,3
"F:maj6","F:maj",9,2
"F:maj7","D:7",9,4
"F:maj9","F#:hdim7",9,1
"F:min7","Db:maj",9,4
"F:min7","Eb:maj6",9,1
"F:min7/5","C:min9",9,2
"F:sus4","C:min",9,1
"G:1/1","D:1/1",9,5
"G:1/1","G:min/b3",9,1
"G:5","Ab:5",9,4
"G:5","F:maj",9,1
"G:7","G:maj6",9,3
"G:dim7","D:maj",9,1
"G:maj","Eb:maj9",9,1
"G:maj(11)","F:maj",9,1
"G:maj/2","D:maj/5",9,1
"G:maj/5","C:maj",9,3
"G:maj/b7","C:maj/3",9,1
"G:maj6","G:7",9,1
"G:min","F:7",9,4
"G:min/5","D:maj",9,1
"G:min/b3","G:1/1",9,1
"G:min7","Ab:maj/2",9,1
"G:min7/4","A:min7",9,1
"G:sus4","C:maj",9,1
"Gb:5","G:5",9,3
"Gb:maj","Bb:maj",9,3
"Gb:maj","Gb:maj/2",9,1
"A:1/1","G:1/1",8,4
"A:5(b7)","A:5(b7)/2",8,1
"A:5(b7)/b7","A:5(b7)",8,1
"A:7","D:maj7",8,2
"A:7","E:min",8,2
"A:maj","Ab:maj",8,2
"A:maj","Bb:maj",8,4
"A:maj","D:7",8,3
"A:maj","E:sus4",8,2
"A:maj/2","E:min7",8,1
"A:maj/5","A:maj6/5",8,1
"A:maj/7","F#:min",8,1
"A:maj6","C:maj",8,1
"A:maj6/5","A:maj/5",8,1
"A:min/b3","G:maj/4",8,1
"A:min7","D:maj6",8,1
"A:min9","A:min",8,1
"Ab:1/1","Ab:maj",8,4
"Ab:13","Db:maj7",8,1
"Ab:7","Bb:min",8,2
"Ab:7","Eb:7(#9)",8,2
"Ab:maj","Bb:maj/b7",8,1
"Ab:maj","Db:maj7",8,2
"Ab:maj/3","Bb:min11",8,1
"Ab:maj/3","C:min",8,1
"Ab:maj6","Eb:maj",8,2
"Ab:maj7/2","Eb:maj/5",8,1
"Ab:min","Eb:min7",8,1
"Ab:min/5","Db:maj/2",8,1
"Ab:min7","Db:7/3",8,1
"Ab:sus4/5","Ab:maj",8,1
"B:7","D:maj",8,3
"B:7/3","E:min",8,2
"B:7/5","B:7",8,1
"B:9","G:maj7",8,1
"B:maj/bb6","B:maj9",8,1
"B:maj9","Db:min7",8,1
"B:min","A:maj/2",8,1
"B:min","A:sus4",8,3
"B:sus4(b7,9)","B:maj",8,3
"Bb:maj","Ab:maj7/2",8,1
"Bb:maj","D:min/b3",8,1
"Bb:maj","F:maj(9)",8,1
"Bb:maj/3","C:sus4(b7,9)",8,1
"Bb:maj7","Eb:maj7",8,3
"Bb:maj7/7","F:sus4(b7,9)",8,1
"Bb:min","Eb:min",8,3
"Bb:min/5","F:min",8,1
"Bb:sus4","C:min7",8,2
"C#:maj/b4","E:maj",8,1
"C#:min","C#:min/b7",8,3
"C:5","C:1/1",8,1
"C:maj","A:sus4(b7)",8,1
"C:maj","B:sus4(b7)",8,1
"C:maj","Db:maj",8,3
"C:maj","Eb:maj/6",8,1
"C:maj","G:7/3",8,1
"C:maj(9)","Bb:maj",8,1
"C:maj/2","D:5",8,1
"C:maj/4","F:sus4",8,1
"C:maj/5","F:maj(9)",8,2
"C:maj6","D:maj6",8,2
"C:maj7","B:7(b9)",8,1
"C:maj7","D:sus4(b7,9)",8,2
"C:maj7","F:maj",8,2
"C:maj7","G:min7",8,2
"C:min","Bb:maj/2",8,1
"C:min","C:min9",8,1
"C:min","D:7",8,1
"C:min","Db:maj6",8,1
"C:min","Db:maj7",8,3
"C:min","G:min7",8,2
"C:min","G:sus4(b7)/4",8,1
"C:min7","D:min7",8,3
"C:min9","Ab:maj/3",8,1
"C:min9","F:min7/5",8,1
"C:sus4","D:7",8,1
"D:(11)","C:(11)",8,1
"D:maj","B:min(11)",8,1
"D:maj","D:maj9",8,1
"D:maj","F#:maj",8,3
"D:maj/2","A:maj",8,2
"D:maj/3","B:maj/5",8,1
"D:maj/3","E:sus4(b7)",8,1
"D:maj/5","A:sus4(b7)",8,1
"D:maj6","C:maj6",8,2
"D:min","F:maj7",8,2
"D:min/b3","G:min",8,1
"D:min7","G:11",8,3
"Db:maj","Eb:min/b7",8,2
"Db:maj","F:7",8,2
"Db:maj","Gb:maj/5",8,2
"Db:maj(11)","F:min7",8,1
"Db:maj(9)","Ab:maj/3",8,1
"Db:maj(9)","Ab:maj/4",8,1
"Db:maj6","Ab:maj",8,1
"Db:maj6/5","Db:min9",8,1
"Db:min9","B:maj/bb6",8,1
"E:1/1","A:maj/5",8,1
"E:maj","E:maj(11)",8,1
"E:maj","E:sus4/2",8,1
"E:maj","F#:11",8,1
"E:maj/3","E:maj",8,2
"E:maj/5","E:maj/3",8,1
"E:maj6","B:min7/4",8,1
"E:min","E:min/b3",8,3
"E:min","F#:maj",8,3
"E:min(b13)","E:min",8,1
"E:min6","E:min(b13)",8,1
"E:min7","E:min6",8,1
"E:sus4(b7)","A:maj/3",8,1
"E:sus4(b7,9,13)","C#:min7/b3",8,1
"E:sus4/2","E:maj",8,1
"Eb:7","F:min7",8,1
"Eb:7(#9)","Ab:7",8,2
"Eb:7/b7","C:min7",8,1
"Eb:maj","Bb:min",8,3
"Eb:maj","C:min7",8,4
"Eb:maj","Eb:maj/7",8,4
"Eb:maj","Gb:1/1",8,1
"Eb:maj","Gb:maj",8,3
"Eb:maj/3","F:maj",8,1
"Eb:maj/5","Ab:maj7/2",8,1
"Eb:maj/6","C:min",8,1
"Eb:min","Ab:min/5",8,1
"Eb:min11","Db:maj(11)",8,1
"Eb:min9","Db:maj6/5",8,1
"F#:11","D:maj",8,1
"F#:7","B:maj7",8,1
"F#:7/3","B:min",8,1
"F#:maj","C#:maj/b4",8,1
"F#:maj","D:maj/3",8,1
"F#:min","A:sus4(b7)",8,1
"F#:min","C#:min",8,2
"F#:min/5","B:min",8,1
"F#:min7","A:11",8,1
"F#:min7","A:sus4(b7)",8,1
"F#:min7","C#:min7",8,3
